table	discriminator_column	ref_column	value	target_table	target_tier	resolver_path	status	notes
public.comments	target_type	target_id	exercise	public.lfk_exercises	SCOPED	target.organization_id; P0.4.D backfill joins lfk_exercises.id	resolved	no FK; polymorphic resolver
public.comments	target_type	target_id	lfk_complex	public.lfk_complexes	SCOPED	target.organization_id; P0.4.D backfill joins lfk_complexes.id	resolved	no FK; polymorphic resolver
public.comments	target_type	target_id	test	public.tests	SCOPED	target.organization_id; P0.4.D backfill joins tests.id	resolved	no FK; polymorphic resolver
public.comments	target_type	target_id	test_set	public.test_sets	SCOPED	target.organization_id; P0.4.D backfill joins test_sets.id	resolved	no FK; polymorphic resolver
public.comments	target_type	target_id	recommendation	public.recommendations	SCOPED	target.organization_id; P0.4.D backfill joins recommendations.id	resolved	no FK; polymorphic resolver
public.comments	target_type	target_id	lesson	public.content_pages	SCOPED	target.organization_id; P0.4.D backfill joins content_pages.id	resolved	no FK; polymorphic resolver
public.comments	target_type	target_id	stage_item_instance	public.treatment_program_instance_stage_items	SCOPED	target.organization_id; P0.4.D backfill joins treatment_program_instance_stage_items.id	resolved	no FK; polymorphic resolver
public.comments	target_type	target_id	stage_instance	public.treatment_program_instance_stages	SCOPED	target.organization_id; P0.4.D backfill joins treatment_program_instance_stages.id	resolved	no FK; polymorphic resolver
public.comments	target_type	target_id	program_instance	public.treatment_program_instances	SCOPED	target.organization_id; P0.4.D backfill joins treatment_program_instances.id	resolved	no FK; polymorphic resolver
public.patient_home_block_items	target_type	target_ref	content_page	public.content_pages	SCOPED	row.organization_id copied from public.patient_home_blocks; target_ref is content_pages.slug validated in service	resolved	text ref by slug; no DB FK
public.patient_home_block_items	target_type	target_ref	content_section	public.content_sections	SCOPED	row.organization_id copied from public.patient_home_blocks; target_ref is content_sections.slug validated in service	resolved	text ref by slug; no DB FK
public.patient_home_block_items	target_type	target_ref	course	public.courses	SCOPED	row.organization_id copied from public.patient_home_blocks; target_ref is courses.id validated in service	resolved	text ref; no DB FK
public.patient_home_block_items	target_type	target_ref	static_action	STATIC_ACTION	INFRA	row.organization_id copied from public.patient_home_blocks; target_ref is an application action code	resolved	not a DB target
public.treatment_program_template_stage_items	item_type	item_ref_id	exercise	public.lfk_exercises	SCOPED	row.organization_id copied from treatment_program_template_stages; item_ref_id validated by TreatmentProgramItemRefValidationPort	resolved	no DB FK on item_ref_id
public.treatment_program_template_stage_items	item_type	item_ref_id	recommendation	public.recommendations	SCOPED	row.organization_id copied from treatment_program_template_stages; item_ref_id validated by TreatmentProgramItemRefValidationPort	resolved	no DB FK on item_ref_id
public.treatment_program_template_stage_items	item_type	item_ref_id	lesson	public.content_pages	SCOPED	row.organization_id copied from treatment_program_template_stages; item_ref_id validated by TreatmentProgramItemRefValidationPort	resolved	no DB FK on item_ref_id
public.treatment_program_template_stage_items	item_type	item_ref_id	clinical_test	public.tests	SCOPED	row.organization_id copied from treatment_program_template_stages; item_ref_id validated by TreatmentProgramItemRefValidationPort	resolved	no DB FK on item_ref_id
public.treatment_program_instance_stage_items	item_type	item_ref_id	exercise	public.lfk_exercises	SCOPED	row.organization_id copied from treatment_program_instance_stages; item_ref_id validated by TreatmentProgramItemRefValidationPort	resolved	no DB FK on item_ref_id
public.treatment_program_instance_stage_items	item_type	item_ref_id	recommendation	public.recommendations	SCOPED	row.organization_id copied from treatment_program_instance_stages; item_ref_id validated by TreatmentProgramItemRefValidationPort	resolved	no DB FK on item_ref_id
public.treatment_program_instance_stage_items	item_type	item_ref_id	lesson	public.content_pages	SCOPED	row.organization_id copied from treatment_program_instance_stages; item_ref_id validated by TreatmentProgramItemRefValidationPort	resolved	no DB FK on item_ref_id
public.treatment_program_instance_stage_items	item_type	item_ref_id	clinical_test	public.tests	SCOPED	row.organization_id copied from treatment_program_instance_stages; item_ref_id validated by TreatmentProgramItemRefValidationPort	resolved	no DB FK on item_ref_id
public.material_ratings	target_kind	target_id	content_page	public.content_pages	SCOPED	row.organization_id resolved from user org in P0.4.P7; content page target exists via MaterialRatingContentPagesPort	resolved	no DB FK; service validates target
public.material_ratings	target_kind	target_id	lfk_exercise	public.lfk_exercises	SCOPED	row.organization_id resolved from user org in P0.4.P7; target exists via TreatmentProgramItemRefValidationPort	resolved	no DB FK; service validates target
public.material_ratings	target_kind	target_id	lfk_complex	public.lfk_complex_templates	SCOPED	row.organization_id resolved from user org in P0.4.P7; target exists via TreatmentProgramItemRefValidationPort	resolved	no DB FK; service validates target
public.treatment_program_events	target_type	target_id	stage	public.treatment_program_instance_stages	SCOPED	row.organization_id copied from treatment_program_instances via instance_id; target_id records event target	resolved	event target stays inside same instance org
public.treatment_program_events	target_type	target_id	stage_item	public.treatment_program_instance_stage_items	SCOPED	row.organization_id copied from treatment_program_instances via instance_id; target_id records event target	resolved	event target stays inside same instance org
public.treatment_program_events	target_type	target_id	program	public.treatment_program_instances	SCOPED	row.organization_id copied from treatment_program_instances via instance_id; target_id records event target	resolved	event target stays inside same instance org
public.admin_audit_log	none	target_id	non_polymorphic_text_pointer	N/A	SCOPED	row.organization_id resolved from actor/default in P0.4.P8; no discriminator column	resolved	excluded from polymorphic resolver set
