fixture_id	family	table	organization_key	organization_id	patient_key	patient_user_id	principal_key	principal_user_id	expected_scope	notes
direct-org-member-a	direct_org	public.be_organization_members	org_a	13000000-0000-4000-8000-0000000000a1	none		doctor_a	13000000-0000-4000-8000-00000000d0a1	org_a	staff membership row with materialized organization_id
direct-org-member-b	direct_org	public.be_organization_members	org_b	13000000-0000-4000-8000-0000000000b1	none		doctor_b	13000000-0000-4000-8000-00000000d0b1	org_b	second organization staff membership row
direct-org-enrollment-a1	direct_org	public.org_enrollments	org_a	13000000-0000-4000-8000-0000000000a1	patient_a1	13000000-0000-4000-8000-00000000a101	patient_a1	13000000-0000-4000-8000-00000000a101	org_a/patient_a1	patient wall baseline row for org A patient 1
direct-org-enrollment-a2	direct_org	public.org_enrollments	org_a	13000000-0000-4000-8000-0000000000a1	patient_a2	13000000-0000-4000-8000-00000000a102	patient_a2	13000000-0000-4000-8000-00000000a102	org_a/patient_a2	same-org second patient for patient-wall negative assertions
direct-org-enrollment-b1	direct_org	public.org_enrollments	org_b	13000000-0000-4000-8000-0000000000b1	patient_b1	13000000-0000-4000-8000-00000000b101	patient_b1	13000000-0000-4000-8000-00000000b101	org_b/patient_b1	cross-org patient row for tenant-wall negative assertions
fk-package-item-a	fk_path	public.be_package_items	org_a	13000000-0000-4000-8000-0000000000a1	none		doctor_a	13000000-0000-4000-8000-00000000d0a1	org_a via be_subscription_packages.organization_id	P0.8.4 public FK-path representative
fk-package-item-b	fk_path	public.be_package_items	org_b	13000000-0000-4000-8000-0000000000b1	none		doctor_b	13000000-0000-4000-8000-00000000d0b1	org_b via be_subscription_packages.organization_id	second organization P0.8.4 public FK-path representative
fk-patient-package-item-a1	fk_path	public.be_patient_package_items	org_a	13000000-0000-4000-8000-0000000000a1	patient_a1	13000000-0000-4000-8000-00000000a101	patient_a1	13000000-0000-4000-8000-00000000a101	org_a/patient_a1 via be_patient_packages.organization_id	P0.8.4 patient-bearing FK-path representative
fk-patient-package-item-a2	fk_path	public.be_patient_package_items	org_a	13000000-0000-4000-8000-0000000000a1	patient_a2	13000000-0000-4000-8000-00000000a102	patient_a2	13000000-0000-4000-8000-00000000a102	org_a/patient_a2 via be_patient_packages.organization_id	same-org wrong-patient FK-path negative assertion row
fk-patient-package-item-b1	fk_path	public.be_patient_package_items	org_b	13000000-0000-4000-8000-0000000000b1	patient_b1	13000000-0000-4000-8000-00000000b101	patient_b1	13000000-0000-4000-8000-00000000b101	org_b/patient_b1 via be_patient_packages.organization_id	cross-org patient-bearing FK-path representative
denorm-notification-attempt-a1	denorm_path	public.notification_delivery_attempts	org_a	13000000-0000-4000-8000-0000000000a1	patient_a1	13000000-0000-4000-8000-00000000a101	patient_a1	13000000-0000-4000-8000-00000000a101	org_a/patient_a1	P0.8.4 denorm organization_id plus user_id representative
denorm-notification-attempt-a2	denorm_path	public.notification_delivery_attempts	org_a	13000000-0000-4000-8000-0000000000a1	patient_a2	13000000-0000-4000-8000-00000000a102	patient_a2	13000000-0000-4000-8000-00000000a102	org_a/patient_a2	same-org wrong-patient denorm negative assertion row
denorm-notification-attempt-b1	denorm_path	public.notification_delivery_attempts	org_b	13000000-0000-4000-8000-0000000000b1	patient_b1	13000000-0000-4000-8000-00000000b101	patient_b1	13000000-0000-4000-8000-00000000b101	org_b/patient_b1	cross-org denorm organization_id plus user_id representative
bootstrap-global-setting	bootstrap	public.system_settings	global		none		none		global bootstrap readable	organization_id IS NULL default row
bootstrap-org-setting-b	bootstrap	public.system_settings	org_b	13000000-0000-4000-8000-0000000000b1	none		doctor_b	13000000-0000-4000-8000-00000000d0b1	org_b override	organization-specific system_settings override row
integrator-reminder-log-a1	integrator_denorm	integrator.user_reminder_delivery_logs	org_a	13000000-0000-4000-8000-0000000000a1	patient_a1	13000000-0000-4000-8000-00000000a101	patient_a1	13000000-0000-4000-8000-00000000a101	org_a/patient_a1	P0.8.5 integrator parent denorm representative
integrator-reminder-log-b1	integrator_denorm	integrator.user_reminder_delivery_logs	org_b	13000000-0000-4000-8000-0000000000b1	patient_b1	13000000-0000-4000-8000-00000000b101	patient_b1	13000000-0000-4000-8000-00000000b101	org_b/patient_b1	P0.8.5 integrator parent denorm representative
